user_id,product_id,view,cart,purchase,implicit_score
1,32500,14,1,1,22
4374,27363,14,1,1,22
1534,15216,14,1,1,22
3637,35419,14,1,1,22
413,19994,14,1,1,22
4378,38724,14,1,1,22
4,15566,14,1,1,22
717,32280,14,1,1,22
717,34542,14,1,1,22
718,7239,14,1,1,22
720,6904,14,1,1,22
3269,25453,14,1,1,22
264,23223,14,1,1,22
2180,23687,14,1,1,22
3064,26578,14,1,1,22
1537,20145,14,1,1,22
3636,34986,14,1,1,22
3635,39219,14,1,1,22
3066,12517,14,1,1,22
3063,16334,14,1,1,22
3062,19266,14,1,1,22
1532,9491,14,1,1,22
5,24915,14,1,1,22
725,2984,14,1,1,22
4379,41203,14,1,1,22
2655,40830,14,1,1,22
4366,2278,14,1,1,22
722,25924,14,1,1,22
4366,2913,14,1,1,22
415,40459,14,1,1,22
1533,36160,14,1,1,22
2181,35588,14,1,1,22
3631,11163,14,1,1,22
3630,30877,14,1,1,22
1543,14939,14,1,1,22
2176,24403,14,1,1,22
417,20269,14,1,1,22
2659,16995,14,1,1,22
2659,5595,14,1,1,22
261,24984,14,1,1,22
4768,18195,14,1,1,22
723,31896,14,1,1,22
2641,3559,14,1,1,22
3061,22897,14,1,1,22
3646,22302,14,1,1,22
4635,8215,14,1,1,22
4635,14788,14,1,1,22
1523,11891,14,1,1,22
3059,14653,14,1,1,22
2190,29093,14,1,1,22
3058,19357,14,1,1,22
2658,21335,14,1,1,22
729,994,14,1,1,22
2657,27110,14,1,1,22
2641,4632,14,1,1,22
726,33171,14,1,1,22
4359,31685,14,1,1,22
4359,32844,14,1,1,22
2659,5814,14,1,1,22
1545,12257,14,1,1,22
3655,12796,14,1,1,22
4633,4138,14,1,1,22
419,19869,14,1,1,22
3653,34172,14,1,1,22
1519,22539,14,1,1,22
1521,31666,14,1,1,22
1521,31098,14,1,1,22
1521,34559,14,1,1,22
3055,29509,14,1,1,22
420,9529,14,1,1,22
261,24948,14,1,1,22
261,25155,14,1,1,22
3267,21069,14,1,1,22
267,39901,14,1,1,22
3282,11904,14,1,1,22
1934,36958,14,1,1,22
1935,38874,14,1,1,22
3280,26261,14,1,1,22
1949,3480,14,1,1,22
6,31100,14,1,1,22
4997,26260,14,1,1,22
737,32854,14,1,1,22
4350,40395,14,1,1,22
702,10895,14,1,1,22
2659,2982,14,1,1,22
730,36461,14,1,1,22
4355,23467,14,1,1,22
735,24495,14,1,1,22
735,32291,14,1,1,22
2176,21267,14,1,1,22
1548,7007,14,1,1,22
4641,1195,14,1,1,22
4641,6082,14,1,1,22
3053,32216,14,1,1,22
167,23264,14,1,1,22
3659,16452,14,1,1,22
3657,25150,14,1,1,22
420,22557,14,1,1,22
420,9757,14,1,1,22
2191,40635,14,1,1,22
3055,34348,14,1,1,22
421,33051,14,1,1,22
3660,9716,14,1,1,22
3266,27752,14,1,1,22
268,20740,14,1,1,22
1930,22261,14,1,1,22
1930,20721,14,1,1,22
268,18436,14,1,1,22
2637,31296,14,1,1,22
2637,15536,14,1,1,22
2638,9009,14,1,1,22
4352,37270,14,1,1,22
1511,37509,14,1,1,22
3069,1142,14,1,1,22
4846,39720,14,1,1,22
2175,35396,14,1,1,22
1552,21408,14,1,1,22
410,26421,14,1,1,22
3071,27824,14,1,1,22
1507,17543,14,1,1,22
4386,21342,14,1,1,22
2662,35379,14,1,1,22
738,16513,14,1,1,22
4349,9489,14,1,1,22
702,10508,14,1,1,22
2663,41043,14,1,1,22
2635,24599,14,1,1,22
1951,28546,14,1,1,22
3664,39213,14,1,1,22
3663,15347,14,1,1,22
3662,35770,14,1,1,22
2199,12700,14,1,1,22
165,31609,14,1,1,22
1502,18549,14,1,1,22
1505,10464,14,1,1,22
1505,23008,14,1,1,22
4343,32001,14,1,1,22
4342,20284,14,1,1,22
745,4336,14,1,1,22
4994,30294,14,1,1,22
4994,27246,14,1,1,22
1505,11297,14,1,1,22
3048,6664,14,1,1,22
3048,4626,14,1,1,22
1498,35177,14,1,1,22
1499,35569,14,1,1,22
1500,16853,14,1,1,22
3070,3990,14,1,1,22
174,9863,14,1,1,22
174,27703,14,1,1,22
174,14207,14,1,1,22
4388,19117,14,1,1,22
260,11842,14,1,1,22
4765,18619,14,1,1,22
3286,24066,14,1,1,22
743,7369,14,1,1,22
2633,26881,14,1,1,22
4993,22147,14,1,1,22
174,9928,14,1,1,22
3621,39327,14,1,1,22
3620,25366,14,1,1,22
3620,39002,14,1,1,22
3618,17684,14,1,1,22
1497,14771,14,1,1,22
2665,19364,14,1,1,22
749,25497,14,1,1,22
4337,4472,14,1,1,22
2629,31937,14,1,1,22
2665,27330,14,1,1,22
2665,14317,14,1,1,22
4993,22268,14,1,1,22
9,23158,14,1,1,22
4993,32294,14,1,1,22
2202,12343,14,1,1,22
3045,1237,14,1,1,22
3678,25126,14,1,1,22
3676,2957,14,1,1,22
1494,12371,14,1,1,22
1496,14242,14,1,1,22
4626,19320,14,1,1,22
696,11362,14,1,1,22
1925,20874,14,1,1,22
1956,30420,14,1,1,22
3289,41351,14,1,1,22
1926,8403,14,1,1,22
3288,2175,14,1,1,22
2666,12741,14,1,1,22
2631,34828,14,1,1,22
2665,27005,14,1,1,22
3618,40483,14,1,1,22
1559,24654,14,1,1,22
1559,36007,14,1,1,22
1559,39601,14,1,1,22
3044,30923,14,1,1,22
4857,14863,14,1,1,22
3292,18773,14,1,1,22
1922,25013,14,1,1,22
272,2168,14,1,1,22
4762,15178,14,1,1,22
270,7109,14,1,1,22
4763,4034,14,1,1,22
2629,35064,14,1,1,22
4334,23749,14,1,1,22
751,32150,14,1,1,22
1491,6341,14,1,1,22
3679,16314,14,1,1,22
1491,7441,14,1,1,22
3046,22825,14,1,1,22
2171,34254,14,1,1,22
1559,39829,14,1,1,22
3615,39659,14,1,1,22
3615,36459,14,1,1,22
1563,6880,14,1,1,22
4328,6847,14,1,1,22
2623,39090,14,1,1,22
2670,35705,14,1,1,22
2627,33056,14,1,1,22
2669,12806,14,1,1,22
2669,20801,14,1,1,22
12,41409,14,1,1,22
755,38166,14,1,1,22
2626,9859,14,1,1,22
3682,33718,14,1,1,22
3682,31230,14,1,1,22
3682,34115,14,1,1,22
1487,33327,14,1,1,22
430,16468,14,1,1,22
3684,10663,14,1,1,22
432,7664,14,1,1,22
4623,40236,14,1,1,22
4623,12027,14,1,1,22
1486,32125,14,1,1,22
1959,22230,14,1,1,22
3260,39418,14,1,1,22
3295,21729,14,1,1,22
272,7879,14,1,1,22
1957,7778,14,1,1,22
1958,31664,14,1,1,22
12,29558,14,1,1,22
754,16710,14,1,1,22
695,3082,14,1,1,22
2625,41146,14,1,1,22
694,35397,14,1,1,22
694,30905,14,1,1,22
761,20852,14,1,1,22
2673,12785,14,1,1,22
1959,11719,14,1,1,22
3044,30112,14,1,1,22
3042,32280,14,1,1,22
4858,18640,14,1,1,22
3041,41406,14,1,1,22
3685,10281,14,1,1,22
1485,31071,14,1,1,22
433,20851,14,1,1,22
433,3406,14,1,1,22
3613,18067,14,1,1,22
3613,14369,14,1,1,22
406,28504,14,1,1,22
1564,19430,14,1,1,22
1564,10877,14,1,1,22
2168,37714,14,1,1,22
4844,37227,14,1,1,22
1565,24703,14,1,1,22
3612,18031,14,1,1,22
2209,10645,14,1,1,22
435,26545,14,1,1,22
690,28813,14,1,1,22
4317,29981,14,1,1,22
770,21701,14,1,1,22
4396,8274,14,1,1,22
4990,30041,14,1,1,22
4324,41015,14,1,1,22
762,17530,14,1,1,22
763,32807,14,1,1,22
4321,5487,14,1,1,22
692,40702,14,1,1,22
765,11038,14,1,1,22
772,29786,14,1,1,22
4315,30014,14,1,1,22
257,4630,14,1,1,22
1919,17436,14,1,1,22
273,23554,14,1,1,22
1958,25145,14,1,1,22
4319,16514,14,1,1,22
3689,29323,14,1,1,22
2208,21308,14,1,1,22
2211,41202,14,1,1,22
3697,39503,14,1,1,22
3696,17217,14,1,1,22
1476,23741,14,1,1,22
3258,17174,14,1,1,22
275,38028,14,1,1,22
275,14924,14,1,1,22
4760,35334,14,1,1,22
274,8177,14,1,1,22
4760,12628,14,1,1,22
2619,7371,14,1,1,22
2619,5806,14,1,1,22
1477,5919,14,1,1,22
2212,21887,14,1,1,22
3699,40650,14,1,1,22
1470,4797,14,1,1,22
3699,35110,14,1,1,22
437,10909,14,1,1,22
3612,26417,14,1,1,22
774,37452,14,1,1,22
775,538,14,1,1,22
688,24402,14,1,1,22
4315,27660,14,1,1,22
4315,28745,14,1,1,22
4396,11872,14,1,1,22
689,32894,14,1,1,22
3076,34437,14,1,1,22
176,28506,14,1,1,22
3611,19310,14,1,1,22
1568,4220,14,1,1,22
3610,11347,14,1,1,22
3036,22141,14,1,1,22
3036,22100,14,1,1,22
158,39748,14,1,1,22
3701,14740,14,1,1,22
1468,3271,14,1,1,22
4648,24500,14,1,1,22
2164,14828,14,1,1,22
3077,8597,14,1,1,22
3610,22911,14,1,1,22
276,21783,14,1,1,22
3302,24723,14,1,1,22
3256,37197,14,1,1,22
1912,19796,14,1,1,22
1912,2307,14,1,1,22
4759,31015,14,1,1,22
1465,6232,14,1,1,22
1466,32600,14,1,1,22
4616,12449,14,1,1,22
1461,38474,14,1,1,22
442,257,14,1,1,22
3704,4874,14,1,1,22
1463,8683,14,1,1,22
781,34978,14,1,1,22
687,32010,14,1,1,22
4397,31920,14,1,1,22
4310,8540,14,1,1,22
4988,23470,14,1,1,22
4987,12611,14,1,1,22
4398,4831,14,1,1,22
778,11385,14,1,1,22
779,24535,14,1,1,22
3608,20297,14,1,1,22
2161,2084,14,1,1,22
2161,20164,14,1,1,22
3709,31445,14,1,1,22
2220,23035,14,1,1,22
2683,24177,14,1,1,22
17,18653,14,1,1,22
4986,40013,14,1,1,22
4306,11148,14,1,1,22
4306,25382,14,1,1,22
4987,8261,14,1,1,22
4987,9532,14,1,1,22
3032,22819,14,1,1,22
3032,41220,14,1,1,22
156,32731,14,1,1,22
155,34560,14,1,1,22
3030,31902,14,1,1,22
3712,20595,14,1,1,22
3712,18955,14,1,1,22
1457,402,14,1,1,22
1458,19687,14,1,1,22
4303,11803,14,1,1,22
277,10599,14,1,1,22
1908,16105,14,1,1,22
256,12856,14,1,1,22
256,8901,14,1,1,22
3305,10053,14,1,1,22
1908,22579,14,1,1,22
1908,20195,14,1,1,22
4400,23889,14,1,1,22
1459,6501,14,1,1,22
2162,35899,14,1,1,22
3607,25157,14,1,1,22
1573,11544,14,1,1,22
4649,32045,14,1,1,22
155,29437,14,1,1,22
4863,37210,14,1,1,22
2223,1457,14,1,1,22
4612,28052,14,1,1,22
1903,14308,14,1,1,22
1903,3918,14,1,1,22
1907,23520,14,1,1,22
2685,10338,14,1,1,22
2608,6504,14,1,1,22
783,8420,14,1,1,22
4304,11334,14,1,1,22
784,41046,14,1,1,22
1456,17698,14,1,1,22
3031,36411,14,1,1,22
3603,31079,14,1,1,22
2161,1245,14,1,1,22
1576,26289,14,1,1,22
3602,23520,14,1,1,22
3029,5997,14,1,1,22
3029,2122,14,1,1,22
3252,2694,14,1,1,22
1968,8032,14,1,1,22
3312,35675,14,1,1,22
3310,15111,14,1,1,22
4777,14247,14,1,1,22
2687,41134,14,1,1,22
2607,26149,14,1,1,22
2686,1231,14,1,1,22
2608,40818,14,1,1,22
4301,35642,14,1,1,22
683,40848,14,1,1,22
3027,24644,14,1,1,22
1453,29992,14,1,1,22
1454,17818,14,1,1,22
3030,32959,14,1,1,22
2226,35183,14,1,1,22
3026,29698,14,1,1,22
3026,28029,14,1,1,22
792,9915,14,1,1,22
4295,36618,14,1,1,22
4405,20556,14,1,1,22
2604,37574,14,1,1,22
4984,39841,14,1,1,22
2606,20546,14,1,1,22
787,30442,14,1,1,22
4405,18698,14,1,1,22
789,32305,14,1,1,22
4297,20899,14,1,1,22
3252,28813,14,1,1,22
3716,23902,14,1,1,22
399,16867,14,1,1,22
399,18395,14,1,1,22
2158,38567,14,1,1,22
2159,16845,14,1,1,22
179,18718,14,1,1,22
3601,4866,14,1,1,22
3721,40240,14,1,1,22
4983,32978,14,1,1,22
4293,31010,14,1,1,22
4406,11902,14,1,1,22
4292,22298,14,1,1,22
797,8843,14,1,1,22
796,8485,14,1,1,22
791,20190,14,1,1,22
2692,26074,14,1,1,22
20,11937,14,1,1,22
798,35241,14,1,1,22
1898,7257,14,1,1,22
2601,39508,14,1,1,22
4983,35096,14,1,1,22
3720,37893,14,1,1,22
3718,11980,14,1,1,22
1449,9152,14,1,1,22
447,4668,14,1,1,22
2228,41160,14,1,1,22
3024,18108,14,1,1,22
1444,40877,14,1,1,22
1445,669,14,1,1,22
2158,41044,14,1,1,22
4651,30516,14,1,1,22
1581,26559,14,1,1,22
398,30544,14,1,1,22
3085,38033,14,1,1,22
2229,27357,14,1,1,22
2230,21313,14,1,1,22
4865,30879,14,1,1,22
152,859,14,1,1,22
2230,15373,14,1,1,22
2696,4015,14,1,1,22
798,34369,14,1,1,22
678,6812,14,1,1,22
802,33502,14,1,1,22
2695,40837,14,1,1,22
2600,8782,14,1,1,22
2694,33515,14,1,1,22
21,2665,14,1,1,22
1439,30452,14,1,1,22
1440,36529,14,1,1,22
4608,38851,14,1,1,22
1440,15873,14,1,1,22
3726,23084,14,1,1,22
151,40776,14,1,1,22
151,38804,14,1,1,22
2231,23836,14,1,1,22
1435,14686,14,1,1,22
3731,35046,14,1,1,22
3731,31871,14,1,1,22
806,12736,14,1,1,22
4409,4226,14,1,1,22
3249,32015,14,1,1,22
1892,24233,14,1,1,22
1894,12270,14,1,1,22
1895,12018,14,1,1,22
4754,22572,14,1,1,22
808,3212,14,1,1,22
808,31435,14,1,1,22
808,1953,14,1,1,22
22,22434,14,1,1,22
4288,12724,14,1,1,22
1437,18921,14,1,1,22
1437,28483,14,1,1,22
1437,37043,14,1,1,22
3595,15780,14,1,1,22
397,14336,14,1,1,22
3593,33699,14,1,1,22
1587,39848,14,1,1,22
4866,32850,14,1,1,22
3020,31994,14,1,1,22
3735,12365,14,1,1,22
4606,25012,14,1,1,22
452,32999,14,1,1,22
2233,40058,14,1,1,22
4867,13157,14,1,1,22
3739,6727,14,1,1,22
1427,29469,14,1,1,22
4605,18857,14,1,1,22
3021,31458,14,1,1,22
181,23741,14,1,1,22
4283,22002,14,1,1,22
4411,14238,14,1,1,22
4283,12917,14,1,1,22
3323,23534,14,1,1,22
1888,19951,14,1,1,22
1890,39335,14,1,1,22
1890,37977,14,1,1,22
1890,30013,14,1,1,22
283,31616,14,1,1,22
1971,35194,14,1,1,22
4779,32001,14,1,1,22
1974,5605,14,1,1,22
4750,24499,14,1,1,22
1885,27690,14,1,1,22
3325,36106,14,1,1,22
1886,22429,14,1,1,22
4750,20385,14,1,1,22
4284,12695,14,1,1,22
809,32970,14,1,1,22
1588,18817,14,1,1,22
1588,21921,14,1,1,22
3087,38627,14,1,1,22
3086,11407,14,1,1,22
3741,20194,14,1,1,22
3741,262,14,1,1,22
1425,3002,14,1,1,22
2587,3595,14,1,1,22
2591,3150,14,1,1,22
4979,35008,14,1,1,22
4282,10164,14,1,1,22
812,19111,14,1,1,22
674,40646,14,1,1,22
253,21136,14,1,1,22
454,28418,14,1,1,22
454,26519,14,1,1,22
3739,39356,14,1,1,22
1420,36526,14,1,1,22
3744,26889,14,1,1,22
2237,30733,14,1,1,22
148,18485,14,1,1,22
1417,34919,14,1,1,22
1419,23114,14,1,1,22
3017,16079,14,1,1,22
1589,12779,14,1,1,22
3591,31845,14,1,1,22
673,15124,14,1,1,22
4274,31567,14,1,1,22
4274,31996,14,1,1,22
819,23106,14,1,1,22
4413,11518,14,1,1,22
819,11686,14,1,1,22
820,39789,14,1,1,22
813,20256,14,1,1,22
674,17202,14,1,1,22
673,12362,14,1,1,22
816,10658,14,1,1,22
817,20532,14,1,1,22
4271,19948,14,1,1,22
3247,31438,14,1,1,22
252,20867,14,1,1,22
3247,31911,14,1,1,22
1884,27300,14,1,1,22
